experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Auditory_Alterations_mean,Auditory_Alterations_std,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Vigilance_Reduction_mean,Vigilance_Reduction_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
23,16,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),10731626,"S0893-133X(99)00148-7 [pii]10.1016/S0893-133X(99)00148-7","Liechti ME","2000 May","Liechti, M.E., Baumann, C., Gamma, A. & Vollenweider, F.X. (2000) Acute psychological effects of 3,4-methylenedioxymethamphetamine (MDMA, ""Ecstasy"") are attenuated by the serotonin uptake inhibitor citalopram. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 5, 513-21.","3,4-Methylenedioxymethamphetamine (MDMA, ""Ecstasy"") is a recreational drug that
has been shown to release serotonin (5-HT) and dopamine (DA) in animals. The
effect of MDMA on 5-HT release can be blocked by 5-HT uptake inhibitors such as
citalopram, suggesting that MDMA interacts with the 5-HT uptake site. It is
unknown whether this mechanism is also responsible for the psychological effects 
of MDMA in humans. We investigated the effect of citalopram pretreatment (40 mg
iv) on the psychological effects of MDMA (1.5 mg/kg po) in a double-blind
placebo-controlled psychometric study in 16 healthy human volunteers. MDMA
produced an emotional state with heightened mood, increased self-confidence and
extroversion, moderate derealization, and an intensification of sensory
perception. Most of these effects were markedly reduced by citalopram. This
finding suggests that the psychological effects of MDMA are mediated via action
at the 5-HT uptake site to increase 5-HT release through the carrier, as expected
from animal studies.",NULL,40,mg,"""Citalopram (40 mg) was dissolved in 500 ml of sterile saline solution and given by perfusion over 90 minutes (330 ml/h).""; ""40 mg citalopram in 500ml saline solution or placebo (saline solution alone) was infused over 90 minutes (330 ml/h). After removal of the intravenous catheter MDMA (1.5 mg/kg) or placebo capsules were given orally.""",Citalopram,i.v.,NULL,NULL,0.46,0.82,1.36,2.89,NULL,NULL,1.06,1.86
24,16,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),10731626,"S0893-133X(99)00148-7 [pii]10.1016/S0893-133X(99)00148-7","Liechti ME","2000 May","Liechti, M.E., Baumann, C., Gamma, A. & Vollenweider, F.X. (2000) Acute psychological effects of 3,4-methylenedioxymethamphetamine (MDMA, ""Ecstasy"") are attenuated by the serotonin uptake inhibitor citalopram. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 5, 513-21.","3,4-Methylenedioxymethamphetamine (MDMA, ""Ecstasy"") is a recreational drug that
has been shown to release serotonin (5-HT) and dopamine (DA) in animals. The
effect of MDMA on 5-HT release can be blocked by 5-HT uptake inhibitors such as
citalopram, suggesting that MDMA interacts with the 5-HT uptake site. It is
unknown whether this mechanism is also responsible for the psychological effects 
of MDMA in humans. We investigated the effect of citalopram pretreatment (40 mg
iv) on the psychological effects of MDMA (1.5 mg/kg po) in a double-blind
placebo-controlled psychometric study in 16 healthy human volunteers. MDMA
produced an emotional state with heightened mood, increased self-confidence and
extroversion, moderate derealization, and an intensification of sensory
perception. Most of these effects were markedly reduced by citalopram. This
finding suggests that the psychological effects of MDMA are mediated via action
at the 5-HT uptake site to increase 5-HT release through the carrier, as expected
from animal studies.",NULL,1.5,mg/kg,"""Citalopram (40 mg) was dissolved in 500 ml of sterile saline solution and given by perfusion over 90 minutes (330 ml/h).""; ""40 mg citalopram in 500ml saline solution or placebo (saline solution alone) was infused over 90 minutes (330 ml/h). After removal of the intravenous catheter MDMA (1.5 mg/kg) or placebo capsules were given orally.""",MDMA,"capsule (oral)",NULL,NULL,16.94,14.34,32.31,24.92,NULL,NULL,15.63,19.83
25,16,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),10731626,"S0893-133X(99)00148-7 [pii]10.1016/S0893-133X(99)00148-7","Liechti ME","2000 May","Liechti, M.E., Baumann, C., Gamma, A. & Vollenweider, F.X. (2000) Acute psychological effects of 3,4-methylenedioxymethamphetamine (MDMA, ""Ecstasy"") are attenuated by the serotonin uptake inhibitor citalopram. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 5, 513-21.","3,4-Methylenedioxymethamphetamine (MDMA, ""Ecstasy"") is a recreational drug that
has been shown to release serotonin (5-HT) and dopamine (DA) in animals. The
effect of MDMA on 5-HT release can be blocked by 5-HT uptake inhibitors such as
citalopram, suggesting that MDMA interacts with the 5-HT uptake site. It is
unknown whether this mechanism is also responsible for the psychological effects 
of MDMA in humans. We investigated the effect of citalopram pretreatment (40 mg
iv) on the psychological effects of MDMA (1.5 mg/kg po) in a double-blind
placebo-controlled psychometric study in 16 healthy human volunteers. MDMA
produced an emotional state with heightened mood, increased self-confidence and
extroversion, moderate derealization, and an intensification of sensory
perception. Most of these effects were markedly reduced by citalopram. This
finding suggests that the psychological effects of MDMA are mediated via action
at the 5-HT uptake site to increase 5-HT release through the carrier, as expected
from animal studies.",NULL,"40 + 1.5","mg + mg/kg","""Citalopram (40 mg) was dissolved in 500 ml of sterile saline solution and given by perfusion over 90 minutes (330 ml/h).""; ""40 mg citalopram in 500ml saline solution or placebo (saline solution alone) was infused over 90 minutes (330 ml/h). After removal of the intravenous catheter MDMA (1.5 mg/kg) or placebo capsules were given orally."" + ""Citalopram (40 mg) was dissolved in 500 ml of sterile saline solution and given by perfusion over 90 minutes (330 ml/h).""; ""40 mg citalopram in 500ml saline solution or placebo (saline solution alone) was infused over 90 minutes (330 ml/h). After removal of the intravenous catheter MDMA (1.5 mg/kg) or placebo capsules were given orally.""","Citalopram + MDMA","i.v. + capsule (oral)",NULL,NULL,6.28,9.56,12.32,16.94,NULL,NULL,4.28,8.47
27,14,0,"end of session ",NULL,healthy,5D-ASC(3D-OAV+2D),10871712,10.1016/S0924-977X(00)00086-9,"Liechti ME","2000 Jul","Liechti, M.E. & Vollenweider, F.X. (2000) Acute psychological and physiological effects of MDMA (""Ecstasy"") after haloperidol pretreatment in healthy humans. European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology, 4, 289-95.","3,4-Methylenedioxymethamphetamine (MDMA, ""Ecstasy"") releases serotonin and
dopamine. The role for dopamine in mediating the effects of MDMA has not yet been
examined in humans. We investigated the effect of pretreatment with the dopamine 
D(2) antagonist haloperidol (1.4 mg i.v.) on psychological and physiological
responses to MDMA (1.5 mg/kg p.o.) in 14 healthy volunteers using a double-blind 
placebo-controlled within-subject design. Subjective peak effects were rated
using standardised scales. The physiological effects measured were blood
pressure, heart rate and body temperature. Side effects were assessed during the 
session, and after 1 and 3 days. Haloperidol attenuated MDMA-induced positive and
mania-like mood but had no reducing effect on other subjective changes or on
cardiovascular effects. Results are consistent with a partial dopaminergic
mediation of the euphoriant effects of MDMA. In contrast, dopamine does not seem 
to contribute to the physiological effects of MDMA, indicating a role for
serotonin and norepinephrine.",NULL,1.4,mg,"""Haloperidol, Janssen (1.4 mg) was dissolved in 5 ml of saline and injected intravenously""; ""At the beginning of each session, volunteers received an i.v. injection of either haloperidol (1.4 mg) in saline or saline alone (placebo). After 10 min, MDMA (1.5 mg / kg) or placebo (lactose) capsules were given orally""",Haloperidol,i.v.,NULL,NULL,0.80,0.90,0.32,0.83,NULL,NULL,NULL,NULL
28,14,0,"end of session ",NULL,healthy,5D-ASC(3D-OAV+2D),10871712,10.1016/S0924-977X(00)00086-9,"Liechti ME","2000 Jul","Liechti, M.E. & Vollenweider, F.X. (2000) Acute psychological and physiological effects of MDMA (""Ecstasy"") after haloperidol pretreatment in healthy humans. European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology, 4, 289-95.","3,4-Methylenedioxymethamphetamine (MDMA, ""Ecstasy"") releases serotonin and
dopamine. The role for dopamine in mediating the effects of MDMA has not yet been
examined in humans. We investigated the effect of pretreatment with the dopamine 
D(2) antagonist haloperidol (1.4 mg i.v.) on psychological and physiological
responses to MDMA (1.5 mg/kg p.o.) in 14 healthy volunteers using a double-blind 
placebo-controlled within-subject design. Subjective peak effects were rated
using standardised scales. The physiological effects measured were blood
pressure, heart rate and body temperature. Side effects were assessed during the 
session, and after 1 and 3 days. Haloperidol attenuated MDMA-induced positive and
mania-like mood but had no reducing effect on other subjective changes or on
cardiovascular effects. Results are consistent with a partial dopaminergic
mediation of the euphoriant effects of MDMA. In contrast, dopamine does not seem 
to contribute to the physiological effects of MDMA, indicating a role for
serotonin and norepinephrine.",NULL,1.5,mg/kg,"""Haloperidol, Janssen (1.4 mg) was dissolved in 5 ml of saline and injected intravenously""; ""At the beginning of each session, volunteers received an i.v. injection of either haloperidol (1.4 mg) in saline or saline alone (placebo). After 10 min, MDMA (1.5 mg / kg) or placebo (lactose) capsules were given orally""",MDMA,"capsule (oral)",NULL,NULL,4.99,6.64,20.14,16.36,NULL,NULL,4.14,3.80
29,14,0,"end of session ",NULL,healthy,5D-ASC(3D-OAV+2D),10871712,10.1016/S0924-977X(00)00086-9,"Liechti ME","2000 Jul","Liechti, M.E. & Vollenweider, F.X. (2000) Acute psychological and physiological effects of MDMA (""Ecstasy"") after haloperidol pretreatment in healthy humans. European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology, 4, 289-95.","3,4-Methylenedioxymethamphetamine (MDMA, ""Ecstasy"") releases serotonin and
dopamine. The role for dopamine in mediating the effects of MDMA has not yet been
examined in humans. We investigated the effect of pretreatment with the dopamine 
D(2) antagonist haloperidol (1.4 mg i.v.) on psychological and physiological
responses to MDMA (1.5 mg/kg p.o.) in 14 healthy volunteers using a double-blind 
placebo-controlled within-subject design. Subjective peak effects were rated
using standardised scales. The physiological effects measured were blood
pressure, heart rate and body temperature. Side effects were assessed during the 
session, and after 1 and 3 days. Haloperidol attenuated MDMA-induced positive and
mania-like mood but had no reducing effect on other subjective changes or on
cardiovascular effects. Results are consistent with a partial dopaminergic
mediation of the euphoriant effects of MDMA. In contrast, dopamine does not seem 
to contribute to the physiological effects of MDMA, indicating a role for
serotonin and norepinephrine.",NULL,"1.4 + 1.5","mg + mg/kg","""Haloperidol, Janssen (1.4 mg) was dissolved in 5 ml of saline and injected intravenously""; ""At the beginning of each session, volunteers received an i.v. injection of either haloperidol (1.4 mg) in saline or saline alone (placebo). After 10 min, MDMA (1.5 mg / kg) or placebo (lactose) capsules were given orally"" + ""Haloperidol, Janssen (1.4 mg) was dissolved in 5 ml of saline and injected intravenously""; ""At the beginning of each session, volunteers received an i.v. injection of either haloperidol (1.4 mg) in saline or saline alone (placebo). After 10 min, MDMA (1.5 mg / kg) or placebo (lactose) capsules were given orally""","Haloperidol + MDMA","i.v. + capsule (oral)",NULL,NULL,9.55,12.04,8.37,9.38,NULL,NULL,3.88,3.59
30,16,0,240,NULL,healthy,5D-ASC(3D-OAV+2D),10989265,10.1016/S0893-133X(00)00130-5,"Gamma A","2000 Oct","Gamma, A., Buck, A., Berthold, T., Liechti, M.E., Vollenweider, F.X. & Hell, D. (2000) 3,4-Methylenedioxymethamphetamine (MDMA) modulates cortical and limbic brain activity as measured by [H(2)(15)O]-PET in healthy humans. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 388-95.","Erratum in
    Neuropsychopharmacology 2000 Nov;23(5):following 598. Hell, D [corrected to
Liechti, ME].",NULL,42552,"mg/kg body weight","""...subjects received a single oral dose of 1.7 mg/kg MDMA or placebo in randomized and counterbalanced order.""",MDMA,"capsule (oral)",NULL,NULL,10.19,14.08,32.79,20.84,NULL,NULL,19.65,17.83
33,14,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),10989266,10.1016/S0893-133X(00)00126-3,"Liechti ME","2000 Oct","Liechti, M.E., Saur, M.R., Gamma, A., Hell, D. & Vollenweider, F.X. (2000) Psychological and physiological effects of MDMA (""Ecstasy"") after pretreatment with the 5-HT(2) antagonist ketanserin in healthy humans. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 396-404.","MDMA (3,4-methylenedioxymethamphetamine, ""Ecstasy"") mainly releases serotonin and
dopamine. In animals, pretreatment with 5-HT(2) antagonists has been shown to
attenuate neurochemical and behavioral effects of MDMA. In humans, the role of
5-HT(2) receptors in the action of MDMA has not been studied. We investigated the
effect of pretreatment with the 5-HT(2A/C) antagonist ketanserin (50 mg p.o.) on 
subjective responses to MDMA (1.5 mg/kg p.o.) in 14 healthy volunteers using a
double-blind placebo-controlled within-subject design. Subjective effects were
rated by psychometric rating scales. Physiological effects measured were blood
pressure, heart rate, and body temperature. Adverse effects were assessed during 
the sessions, and after one and three days. Ketanserin attenuated MDMA-induced
perceptual changes, emotional excitation, and acute adverse responses but had
little effect on MDMA-induced positive mood, well-being, extroversion, and
short-term sequelae. Body temperature was lower under MDMA plus ketanserin
compared to MDMA alone. The results suggest a contributing role for 5-HT(2)
receptors in the action of MDMA in humans.",NULL,50,mg,"""At the beginning of each session volunteers took ketanserin (50 mg) or placebo capsules. After 75 min MDMA (1.5 mg/kg) or placebo was given orally.""",Ketanserin,"capsule (oral)",0.33,NULL,0.39,1.03,0.31,NULL,8.79,11.99,0.48,1.75
34,14,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),10989266,10.1016/S0893-133X(00)00126-3,"Liechti ME","2000 Oct","Liechti, M.E., Saur, M.R., Gamma, A., Hell, D. & Vollenweider, F.X. (2000) Psychological and physiological effects of MDMA (""Ecstasy"") after pretreatment with the 5-HT(2) antagonist ketanserin in healthy humans. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 396-404.","MDMA (3,4-methylenedioxymethamphetamine, ""Ecstasy"") mainly releases serotonin and
dopamine. In animals, pretreatment with 5-HT(2) antagonists has been shown to
attenuate neurochemical and behavioral effects of MDMA. In humans, the role of
5-HT(2) receptors in the action of MDMA has not been studied. We investigated the
effect of pretreatment with the 5-HT(2A/C) antagonist ketanserin (50 mg p.o.) on 
subjective responses to MDMA (1.5 mg/kg p.o.) in 14 healthy volunteers using a
double-blind placebo-controlled within-subject design. Subjective effects were
rated by psychometric rating scales. Physiological effects measured were blood
pressure, heart rate, and body temperature. Adverse effects were assessed during 
the sessions, and after one and three days. Ketanserin attenuated MDMA-induced
perceptual changes, emotional excitation, and acute adverse responses but had
little effect on MDMA-induced positive mood, well-being, extroversion, and
short-term sequelae. Body temperature was lower under MDMA plus ketanserin
compared to MDMA alone. The results suggest a contributing role for 5-HT(2)
receptors in the action of MDMA in humans.",NULL,1.5,mg/kg,"""At the beginning of each session volunteers took ketanserin (50 mg) or placebo capsules. After 75 min MDMA (1.5 mg/kg) or placebo was given orally.""",MDMA,"capsule (oral)",2.30,2.83,9.09,11.74,17.71,14.90,24.00,16.27,6.32,5.70
35,14,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),10989266,10.1016/S0893-133X(00)00126-3,"Liechti ME","2000 Oct","Liechti, M.E., Saur, M.R., Gamma, A., Hell, D. & Vollenweider, F.X. (2000) Psychological and physiological effects of MDMA (""Ecstasy"") after pretreatment with the 5-HT(2) antagonist ketanserin in healthy humans. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 396-404.","MDMA (3,4-methylenedioxymethamphetamine, ""Ecstasy"") mainly releases serotonin and
dopamine. In animals, pretreatment with 5-HT(2) antagonists has been shown to
attenuate neurochemical and behavioral effects of MDMA. In humans, the role of
5-HT(2) receptors in the action of MDMA has not been studied. We investigated the
effect of pretreatment with the 5-HT(2A/C) antagonist ketanserin (50 mg p.o.) on 
subjective responses to MDMA (1.5 mg/kg p.o.) in 14 healthy volunteers using a
double-blind placebo-controlled within-subject design. Subjective effects were
rated by psychometric rating scales. Physiological effects measured were blood
pressure, heart rate, and body temperature. Adverse effects were assessed during 
the sessions, and after one and three days. Ketanserin attenuated MDMA-induced
perceptual changes, emotional excitation, and acute adverse responses but had
little effect on MDMA-induced positive mood, well-being, extroversion, and
short-term sequelae. Body temperature was lower under MDMA plus ketanserin
compared to MDMA alone. The results suggest a contributing role for 5-HT(2)
receptors in the action of MDMA in humans.",NULL,"50 + 1.5","mg + mg/kg","""At the beginning of each session volunteers took ketanserin (50 mg) or placebo capsules. After 75 min MDMA (1.5 mg/kg) or placebo was given orally."" + ""At the beginning of each session volunteers took ketanserin (50 mg) or placebo capsules. After 75 min MDMA (1.5 mg/kg) or placebo was given orally.""","Ketanserin + MDMA","capsule (oral) + capsule (oral)",1.68,4.81,6.81,14.18,12.68,13.15,18.00,21.36,3.17,5.26
