experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
19,8,0,60-240,NULL,NULL,APZ(3D),10102781,NULL,"Gouzoulis-Mayfrank E","1999 Feb","Gouzoulis-Mayfrank, E., Thelen, B., Habermeyer, E., Kunert, H.J., Kovar, K.A., Lindenblatt, H., Hermle, L., Spitzer, M. & Sass, H. (1999) Psychopathological, neuroendocrine and autonomic effects of 3,4-methylenedioxyethylamphetamine (MDE), psilocybin and d-methamphetamine in healthy volunteers. Results of an experimental double-blind placebo-controlled study. Psychopharmacology, 1, 41-50.","The aim of this study was to contribute to the characterization of the entactogen
(ecstasy) substance group. The psychopathological, neuroendocrine and autonomic
effects of common recreational doses of the entactogen
3,4-methylenedioxyethylamphetamine (MDE), the hallucinogen psilocybin, the
stimulant d-methamphetamine and placebo were investigated in a double-blind study
with healthy volunteers (n = 32). Psychological effects of the drugs were
assessed by means of standardized rating scales, self assessment inventories and 
free descriptions. The most characteristic effects of MDE were pleasant emotional
experiences of relaxation, peacefulness, content and closeness to others.
However, significant stimulant and hallucinogen-like effects were also present,
although the latter were weaker than the effects of psilocybin. MDE elicited the 
strongest endocrine and autonomic effects among the three drugs, including robust
rises of serum cortisol and prolactin, elevations of blood pressure and heart
rate, and a moderate, but significant rise of body temperature. The apparent
contrast between psychological and autonomic effects (subjective relaxation
versus physical activation) was a unique feature of the MDE state. Our findings
are in line with both users' reports and results from previous experimental
studies, and support the view that entactogens constitute a distinct psychoactive
substance class taking an intermediate position between hallucinogens and
stimulants.",NULL,2,"mg * body weight (kg)","All substances were prepared as capsules of identical appearance. Psilocybin and d-methamphetamine were obtained in 2.5 mg and 10 mg capsules. MDE was obtained in 10 mg and 100 mg capsules. MDE was obtained in 10 mg and 100 mg capsules. The calculated individual dose of each subject was made available by combination of these capsules. When necessary, empty placebo capsules were added, so that all volunteers received five capsules. Substances were given in the following doses: psilocybin: approximately 0.2 mg/kg, but not more than 15 mg; MDE: approximately 2 mg/kg, but not more than 140 mg, d-methamphetamine: approximately 0.2 mg/kg, but not more than 17.5 mg. In an interim evaluation this first methamphetamine dose was shown to induce only very subtle psychological and physiological effects in the first four subjects. Therefore, the dose was increased to approximately 0.4 mg/kg, but not more than 35 mg. However, clinical effects did not intensify substantially with the higher dose. Data from both methamphetam","MDE (3,4-Methylenedioxyethylamphetamine",oral,3.34,2.87,4.72,2.38,3.38,2.63
20,8,0,60-240,NULL,NULL,APZ(3D),10102781,NULL,"Gouzoulis-Mayfrank E","1999 Feb","Gouzoulis-Mayfrank, E., Thelen, B., Habermeyer, E., Kunert, H.J., Kovar, K.A., Lindenblatt, H., Hermle, L., Spitzer, M. & Sass, H. (1999) Psychopathological, neuroendocrine and autonomic effects of 3,4-methylenedioxyethylamphetamine (MDE), psilocybin and d-methamphetamine in healthy volunteers. Results of an experimental double-blind placebo-controlled study. Psychopharmacology, 1, 41-50.","The aim of this study was to contribute to the characterization of the entactogen
(ecstasy) substance group. The psychopathological, neuroendocrine and autonomic
effects of common recreational doses of the entactogen
3,4-methylenedioxyethylamphetamine (MDE), the hallucinogen psilocybin, the
stimulant d-methamphetamine and placebo were investigated in a double-blind study
with healthy volunteers (n = 32). Psychological effects of the drugs were
assessed by means of standardized rating scales, self assessment inventories and 
free descriptions. The most characteristic effects of MDE were pleasant emotional
experiences of relaxation, peacefulness, content and closeness to others.
However, significant stimulant and hallucinogen-like effects were also present,
although the latter were weaker than the effects of psilocybin. MDE elicited the 
strongest endocrine and autonomic effects among the three drugs, including robust
rises of serum cortisol and prolactin, elevations of blood pressure and heart
rate, and a moderate, but significant rise of body temperature. The apparent
contrast between psychological and autonomic effects (subjective relaxation
versus physical activation) was a unique feature of the MDE state. Our findings
are in line with both users' reports and results from previous experimental
studies, and support the view that entactogens constitute a distinct psychoactive
substance class taking an intermediate position between hallucinogens and
stimulants.",NULL,0.2,"mg * body weight (kg)","All substances were prepared as capsules of identical appearance. Psilocybin and d-methamphetamine were obtained in 2.5 mg and 10 mg capsules. MDE was obtained in 10 mg and 100 mg capsules. MDE was obtained in 10 mg and 100 mg capsules. The calculated individual dose of each subject was made available by combination of these capsules. When necessary, empty placebo capsules were added, so that all volunteers received five capsules. Substances were given in the following doses: psilocybin: approximately 0.2 mg/kg, but not more than 15 mg; MDE: approximately 2 mg/kg, but not more than 140 mg, d-methamphetamine: approximately 0.2 mg/kg, but not more than 17.5 mg. In an interim evaluation this first methamphetamine dose was shown to induce only very subtle psychological and physiological effects in the first four subjects. Therefore, the dose was increased to approximately 0.4 mg/kg, but not more than 35 mg. However, clinical effects did not intensify substantially with the higher dose. Data from both methamphetam",Psilocybin,oral,10.14,6.58,6.97,2.83,6.14,3.98
21,8,0,60-240,NULL,NULL,APZ(3D),10102781,NULL,"Gouzoulis-Mayfrank E","1999 Feb","Gouzoulis-Mayfrank, E., Thelen, B., Habermeyer, E., Kunert, H.J., Kovar, K.A., Lindenblatt, H., Hermle, L., Spitzer, M. & Sass, H. (1999) Psychopathological, neuroendocrine and autonomic effects of 3,4-methylenedioxyethylamphetamine (MDE), psilocybin and d-methamphetamine in healthy volunteers. Results of an experimental double-blind placebo-controlled study. Psychopharmacology, 1, 41-50.","The aim of this study was to contribute to the characterization of the entactogen
(ecstasy) substance group. The psychopathological, neuroendocrine and autonomic
effects of common recreational doses of the entactogen
3,4-methylenedioxyethylamphetamine (MDE), the hallucinogen psilocybin, the
stimulant d-methamphetamine and placebo were investigated in a double-blind study
with healthy volunteers (n = 32). Psychological effects of the drugs were
assessed by means of standardized rating scales, self assessment inventories and 
free descriptions. The most characteristic effects of MDE were pleasant emotional
experiences of relaxation, peacefulness, content and closeness to others.
However, significant stimulant and hallucinogen-like effects were also present,
although the latter were weaker than the effects of psilocybin. MDE elicited the 
strongest endocrine and autonomic effects among the three drugs, including robust
rises of serum cortisol and prolactin, elevations of blood pressure and heart
rate, and a moderate, but significant rise of body temperature. The apparent
contrast between psychological and autonomic effects (subjective relaxation
versus physical activation) was a unique feature of the MDE state. Our findings
are in line with both users' reports and results from previous experimental
studies, and support the view that entactogens constitute a distinct psychoactive
substance class taking an intermediate position between hallucinogens and
stimulants.",NULL,0.2-0.4,"mg * body weight (kg)","All substances were prepared as capsules of identical appearance. Psilocybin and d-methamphetamine were obtained in 2.5 mg and 10 mg capsules. MDE was obtained in 10 mg and 100 mg capsules. MDE was obtained in 10 mg and 100 mg capsules. The calculated individual dose of each subject was made available by combination of these capsules. When necessary, empty placebo capsules were added, so that all volunteers received five capsules. Substances were given in the following doses: psilocybin: approximately 0.2 mg/kg, but not more than 15 mg; MDE: approximately 2 mg/kg, but not more than 140 mg, d-methamphetamine: approximately 0.2 mg/kg, but not more than 17.5 mg. In an interim evaluation this first methamphetamine dose was shown to induce only very subtle psychological and physiological effects in the first four subjects. Therefore, the dose was increased to approximately 0.4 mg/kg, but not more than 35 mg. However, clinical effects did not intensify substantially with the higher dose. Data from both methamphetam",D-Methamphetamine,oral,1.33,1.38,1.80,2.06,0.85,1.20
52,15,0,240,NULL,NULL,APZ(3D),12474114,10.1007/s00213-002-1237-5,"Riba J","2002 Dec","Riba, J., RodrÃ­guez-Fornells, A. & Barbanoj, M.J. (2002) Effects of ayahuasca on sensory and sensorimotor gating in humans as measured by P50 suppression and prepulse inhibition of the startle reflex, respectively. Psychopharmacology, 1, 18-28.","RATIONALE: Ayahuasca, a South American psychotropic plant tea, combines the
psychedelic agent and 5-HT(2A/2C) agonist N, N-dimethyltryptamine (DMT) with
beta-carboline alkaloids showing monoamine oxidase-inhibiting properties. Current
human research with psychedelics and entactogens has explored the possibility
that drugs displaying agonist activity at the 5-HT(2A/2C) sites temporally
disrupt inhibitory neural mechanisms thought to intervene in the normal filtering
of information. Suppression of the P50 auditory evoked potential (AEP) and
prepulse inhibition of startle (PPI) are considered operational measures of
sensory (P50 suppression) and sensorimotor (PPI) gating. Contrary to findings in 
lower animals, unexpected increases in sensorimotor gating have been found in
humans following the administration of the serotonergic psychedelic psilocybin
and the serotonin releaser 3,4-methylenedioxymethamphetamine (MDMA). In addition,
to our knowledge P50 suppression has not been assessed previously in humans
following the administration of a 5-HT(2A/2C) agonist.
OBJECTIVES: To assess the effects of the acute administration of ayahuasca on P50
suppression and PPI in humans, in order to evaluate the drug's modulatory actions
on these measures of sensory and sensorimotor gating.
METHODS: Eighteen healthy volunteers with prior experience of psychedelic drug
use participated in a clinical trial in which placebo or ayahuasca doses (0.6 mg 
and 0.85 mg DMT/kg body weight) were administered according to a double-blind,
cross-over balanced design. P50 and startle reflex (pulse-alone and 60 ms, 120
ms, 240 ms and 2000 ms prepulse-to-pulse intervals) recordings were undertaken at
1.5 h and 2 h after drug intake, respectively.
RESULTS: Ayahuasca produced diverging effects on each of the two gating measures 
evaluated. Whereas significant dose-dependent reductions of P50 suppression were 
observed after ayahuasca, no significant effects were found on the startle
response, its habituation rate, or on PPI at any of the prepulse-to-pulse
intervals studied.
CONCLUSION: The present findings indicate, at the doses tested, a decremental
effect of ayahuasca on sensory gating, as measured by P50 suppression, and no
distinct effects on sensorimotor gating, as measured by PPI.",NULL,0.6,"mg/kg body weight","Two ayahuasca doses containing 0.6 mg and 0.85 mg DMT/kg body weight were chosen as the low and high doses, respectively, based on tolerability and subjective effects assessed in a previous study. The calculated individual dose for each volunteer was administered by combining 00 gelatin capsules containing 0.5, 0.25, or 0.125 g freeze-fried ayahuasca and placebo capsules containing 0.75 g lactose. Placebo capcules were added when necessary, so that all volunteers took the same number of capsules on each experimental day.",DMT,"capsule (oral)",1.33,2.23,2.53,2.90,2.07,2.71
53,15,0,240,NULL,NULL,APZ(3D),12474114,10.1007/s00213-002-1237-5,"Riba J","2002 Dec","Riba, J., RodrÃ­guez-Fornells, A. & Barbanoj, M.J. (2002) Effects of ayahuasca on sensory and sensorimotor gating in humans as measured by P50 suppression and prepulse inhibition of the startle reflex, respectively. Psychopharmacology, 1, 18-28.","RATIONALE: Ayahuasca, a South American psychotropic plant tea, combines the
psychedelic agent and 5-HT(2A/2C) agonist N, N-dimethyltryptamine (DMT) with
beta-carboline alkaloids showing monoamine oxidase-inhibiting properties. Current
human research with psychedelics and entactogens has explored the possibility
that drugs displaying agonist activity at the 5-HT(2A/2C) sites temporally
disrupt inhibitory neural mechanisms thought to intervene in the normal filtering
of information. Suppression of the P50 auditory evoked potential (AEP) and
prepulse inhibition of startle (PPI) are considered operational measures of
sensory (P50 suppression) and sensorimotor (PPI) gating. Contrary to findings in 
lower animals, unexpected increases in sensorimotor gating have been found in
humans following the administration of the serotonergic psychedelic psilocybin
and the serotonin releaser 3,4-methylenedioxymethamphetamine (MDMA). In addition,
to our knowledge P50 suppression has not been assessed previously in humans
following the administration of a 5-HT(2A/2C) agonist.
OBJECTIVES: To assess the effects of the acute administration of ayahuasca on P50
suppression and PPI in humans, in order to evaluate the drug's modulatory actions
on these measures of sensory and sensorimotor gating.
METHODS: Eighteen healthy volunteers with prior experience of psychedelic drug
use participated in a clinical trial in which placebo or ayahuasca doses (0.6 mg 
and 0.85 mg DMT/kg body weight) were administered according to a double-blind,
cross-over balanced design. P50 and startle reflex (pulse-alone and 60 ms, 120
ms, 240 ms and 2000 ms prepulse-to-pulse intervals) recordings were undertaken at
1.5 h and 2 h after drug intake, respectively.
RESULTS: Ayahuasca produced diverging effects on each of the two gating measures 
evaluated. Whereas significant dose-dependent reductions of P50 suppression were 
observed after ayahuasca, no significant effects were found on the startle
response, its habituation rate, or on PPI at any of the prepulse-to-pulse
intervals studied.
CONCLUSION: The present findings indicate, at the doses tested, a decremental
effect of ayahuasca on sensory gating, as measured by P50 suppression, and no
distinct effects on sensorimotor gating, as measured by PPI.",NULL,0.85,"mg/kg body weight","Two ayahuasca doses containing 0.6 mg and 0.85 mg DMT/kg body weight were chosen as the low and high doses, respectively, based on tolerability and subjective effects assessed in a previous study. The calculated individual dose for each volunteer was administered by combining 00 gelatin capsules containing 0.5, 0.25, or 0.125 g freeze-fried ayahuasca and placebo capsules containing 0.75 g lactose. Placebo capcules were added when necessary, so that all volunteers took the same number of capsules on each experimental day.",DMT,"capsule (oral)",3.40,2.77,4.40,2.95,4.07,3.33
95,32,0,NULL,NULL,NULL,APZ(3D),16720081,10.1016/j.drugalcdep.2006.04.001,"GonzÃ¡lez D","2006 Nov 8","GonzÃ¡lez, D., Riba, J., Bouso, J.C., GÃ³mez-Jarabo, G. & Barbanoj, M.J. (2006) Pattern of use and subjective effects of Salvia divinorum among recreational users. Drug and alcohol dependence, 2, 157-62.","BACKGROUND: Salvia divinorum is a member of the Lamiaceae family and contains the
psychotropic diterpene and kappa-opioid receptor agonist salvinorin-A. Originally
a shamanic inebriant used by the Mexican Mazatec Indians, the plant and its
preparations are becoming increasingly popular among non-traditional users.
METHODS: Demographic data and information on pattern of use and subjective
effects were obtained by means of self-report questionnaires from a sample of 32 
recreational users of salvia and other psychedelics.
RESULTS: Involvement with salvia appeared to be a recent phenomenon. Smoking the 
extract was the preferred form of administration. Subjective effects were
described as intense but short-lived, appearing in less than 1 min and lasting 15
min or less. They included psychedelic-like changes in visual perception, mood
and somatic sensations, and importantly, a highly modified perception of external
reality and the self, leading to a decreased ability to interact with oneself or 
with one's surroundings.
CONCLUSIONS: Although some aspects of the subjective effects reported were
similar to high doses of classical psychedelics with serotonin-2A receptor
agonist activity, the intense derealization and impairment reported appear to be 
a characteristic of salvia. The observed simultaneous high scores on the LSD and 
PCAG subscales of the Addiction Research Center Inventory (ARCI) have been
previously reported for other kappa-opioid agonists, and support kappa receptor
activation as the probable pharmacologic mechanism underlying the modified state 
of awareness induced by salvia.",NULL,NULL,NULL,"""...participants were given the forms, which they took away, filled out and later returned to the investigator. ""; ""Smoking the extract was the preferred form of administration.""",Salvinorin-A,n/a,NULL,NULL,6.09,3.44,NULL,NULL
96,32,0,NULL,NULL,NULL,APZ(3D),16720081,10.1016/j.drugalcdep.2006.04.002,"GonzÃ¡lez D","2006 Nov 8","GonzÃ¡lez, D., Riba, J., Bouso, J.C., GÃ³mez-Jarabo, G. & Barbanoj, M.J. (2006) Pattern of use and subjective effects of Salvia divinorum among recreational users. Drug and alcohol dependence, 2, 157-62.","BACKGROUND: Salvia divinorum is a member of the Lamiaceae family and contains the
psychotropic diterpene and kappa-opioid receptor agonist salvinorin-A. Originally
a shamanic inebriant used by the Mexican Mazatec Indians, the plant and its
preparations are becoming increasingly popular among non-traditional users.
METHODS: Demographic data and information on pattern of use and subjective
effects were obtained by means of self-report questionnaires from a sample of 32 
recreational users of salvia and other psychedelics.
RESULTS: Involvement with salvia appeared to be a recent phenomenon. Smoking the 
extract was the preferred form of administration. Subjective effects were
described as intense but short-lived, appearing in less than 1 min and lasting 15
min or less. They included psychedelic-like changes in visual perception, mood
and somatic sensations, and importantly, a highly modified perception of external
reality and the self, leading to a decreased ability to interact with oneself or 
with one's surroundings.
CONCLUSIONS: Although some aspects of the subjective effects reported were
similar to high doses of classical psychedelics with serotonin-2A receptor
agonist activity, the intense derealization and impairment reported appear to be 
a characteristic of salvia. The observed simultaneous high scores on the LSD and 
PCAG subscales of the Addiction Research Center Inventory (ARCI) have been
previously reported for other kappa-opioid agonists, and support kappa receptor
activation as the probable pharmacologic mechanism underlying the modified state 
of awareness induced by salvia.",NULL,NULL,NULL,"""...participants were given the forms, which they took away, filled out and later returned to the investigator. ""; ""Smoking the extract was the preferred form of administration.""",Salvinorin-A,n/a,6.28,4.30,NULL,NULL,NULL,NULL
97,32,0,NULL,NULL,NULL,APZ(3D),16720081,10.1016/j.drugalcdep.2006.04.003,"GonzÃ¡lez D","2006 Nov 8","GonzÃ¡lez, D., Riba, J., Bouso, J.C., GÃ³mez-Jarabo, G. & Barbanoj, M.J. (2006) Pattern of use and subjective effects of Salvia divinorum among recreational users. Drug and alcohol dependence, 2, 157-62.","BACKGROUND: Salvia divinorum is a member of the Lamiaceae family and contains the
psychotropic diterpene and kappa-opioid receptor agonist salvinorin-A. Originally
a shamanic inebriant used by the Mexican Mazatec Indians, the plant and its
preparations are becoming increasingly popular among non-traditional users.
METHODS: Demographic data and information on pattern of use and subjective
effects were obtained by means of self-report questionnaires from a sample of 32 
recreational users of salvia and other psychedelics.
RESULTS: Involvement with salvia appeared to be a recent phenomenon. Smoking the 
extract was the preferred form of administration. Subjective effects were
described as intense but short-lived, appearing in less than 1 min and lasting 15
min or less. They included psychedelic-like changes in visual perception, mood
and somatic sensations, and importantly, a highly modified perception of external
reality and the self, leading to a decreased ability to interact with oneself or 
with one's surroundings.
CONCLUSIONS: Although some aspects of the subjective effects reported were
similar to high doses of classical psychedelics with serotonin-2A receptor
agonist activity, the intense derealization and impairment reported appear to be 
a characteristic of salvia. The observed simultaneous high scores on the LSD and 
PCAG subscales of the Addiction Research Center Inventory (ARCI) have been
previously reported for other kappa-opioid agonists, and support kappa receptor
activation as the probable pharmacologic mechanism underlying the modified state 
of awareness induced by salvia.",NULL,NULL,NULL,"""...participants were given the forms, which they took away, filled out and later returned to the investigator. ""; ""Smoking the extract was the preferred form of administration.""",Salvinorin-A,n/a,NULL,NULL,NULL,NULL,4.78,3.99
98,30,1,420,NULL,healthy,APZ(3D),16826400,10.1007/s00213-006-0457-5,"Griffiths RR","2006 Aug","Griffiths, R.R., Richards, W.A., McCann, U. & Jesse, R. (2006) Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance. Psychopharmacology, 3, 268-83; discussion 284-92.","RATIONALE: Although psilocybin has been used for centuries for religious
purposes, little is known scientifically about its acute and persisting effects.
OBJECTIVES: This double-blind study evaluated the acute and longer-term
psychological effects of a high dose of psilocybin relative to a comparison
compound administered under comfortable, supportive conditions.
MATERIALS AND METHODS: The participants were hallucinogen-naÃ¯ve adults reporting 
regular participation in religious or spiritual activities. Two or three sessions
were conducted at 2-month intervals. Thirty volunteers received orally
administered psilocybin (30 mg/70 kg) and methylphenidate hydrochloride (40 mg/70
kg) in counterbalanced order. To obscure the study design, six additional
volunteers received methylphenidate in the first two sessions and unblinded
psilocybin in a third session. The 8-h sessions were conducted individually.
Volunteers were encouraged to close their eyes and direct their attention inward.
Study monitors rated volunteers' behavior during sessions. Volunteers completed
questionnaires assessing drug effects and mystical experience immediately after
and 2 months after sessions. Community observers rated changes in the volunteer's
attitudes and behavior.
RESULTS: Psilocybin produced a range of acute perceptual changes, subjective
experiences, and labile moods including anxiety. Psilocybin also increased
measures of mystical experience. At 2 months, the volunteers rated the psilocybin
experience as having substantial personal meaning and spiritual significance and 
attributed to the experience sustained positive changes in attitudes and behavior
consistent with changes rated by community observers.
CONCLUSIONS: When administered under supportive conditions, psilocybin occasioned
experiences similar to spontaneously occurring mystical experiences. The ability 
to occasion such experiences prospectively will allow rigorous scientific
investigations of their causes and consequences.",NULL,40,mg/70kg,"Gelatin capsules with lactose; 
 each capsule was administered with 180 ml water; participants instruced to consume low-fat breakfast prior to the experiment",Methylphenidate,"capsule (oral)",1.03,1.15,3.30,2.73,3.70,3.23
99,30,0,420,NULL,healthy,APZ(3D),16826400,10.1007/s00213-006-0457-5,"Griffiths RR","2006 Aug","Griffiths, R.R., Richards, W.A., McCann, U. & Jesse, R. (2006) Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance. Psychopharmacology, 3, 268-83; discussion 284-92.","RATIONALE: Although psilocybin has been used for centuries for religious
purposes, little is known scientifically about its acute and persisting effects.
OBJECTIVES: This double-blind study evaluated the acute and longer-term
psychological effects of a high dose of psilocybin relative to a comparison
compound administered under comfortable, supportive conditions.
MATERIALS AND METHODS: The participants were hallucinogen-naÃ¯ve adults reporting 
regular participation in religious or spiritual activities. Two or three sessions
were conducted at 2-month intervals. Thirty volunteers received orally
administered psilocybin (30 mg/70 kg) and methylphenidate hydrochloride (40 mg/70
kg) in counterbalanced order. To obscure the study design, six additional
volunteers received methylphenidate in the first two sessions and unblinded
psilocybin in a third session. The 8-h sessions were conducted individually.
Volunteers were encouraged to close their eyes and direct their attention inward.
Study monitors rated volunteers' behavior during sessions. Volunteers completed
questionnaires assessing drug effects and mystical experience immediately after
and 2 months after sessions. Community observers rated changes in the volunteer's
attitudes and behavior.
RESULTS: Psilocybin produced a range of acute perceptual changes, subjective
experiences, and labile moods including anxiety. Psilocybin also increased
measures of mystical experience. At 2 months, the volunteers rated the psilocybin
experience as having substantial personal meaning and spiritual significance and 
attributed to the experience sustained positive changes in attitudes and behavior
consistent with changes rated by community observers.
CONCLUSIONS: When administered under supportive conditions, psilocybin occasioned
experiences similar to spontaneously occurring mystical experiences. The ability 
to occasion such experiences prospectively will allow rigorous scientific
investigations of their causes and consequences.",NULL,30,mg/70kg,"Gelatin capsules with lactose; 
 each capsule was administered with 180 ml water; participants instruced to consume low-fat breakfast prior to the experiment",Psilocybin,"capsule (oral)",5.03,4.05,8.00,2.46,8.87,2.57
