experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Affect_mean,Affect_std,Cognition_mean,Cognition_std,Intensity_mean,Intensity_std,Perception_mean,Perception_std,Somaesthesia_mean,Somaesthesia_std,Volition_mean,Volition_std
3,11,0,30,NULL,healthy,HRS,8297217,10.1001/archpsyc.1994.03950020022002,"Strassman RJ","1994 Feb","Strassman, R.J., Qualls, C.R., Uhlenhuth, E.H. & Kellner, R. (1994) Dose-response study of N,N-dimethyltryptamine in humans. II. Subjective effects and preliminary results of a new rating scale. Archives of general psychiatry, 2, 98-108.","BACKGROUND: Validation of animal models of hallucinogenic drugs' subjective
effects requires human data. Previous human studies used varied groups of
subjects and assessment methods. Rating scales for hallucinogen effects
emphasized psychodynamic principles or the drugs' dysphoric properties. We
describe the subjective effects of graded doses of N,N-dimethyltryptamine (DMT), 
an endogenous hallucinogen and drug of abuse, in a group of experienced
hallucinogen users. We also present preliminary data from a new rating scale for 
these effects.
METHODS: Twelve highly motivated volunteers received two doses (0.04 and 0.4
mg/kg) of intravenous (IV) dimethyltryptamine fumarate ""nonblind,"" before
entering a double-blind, saline placebo-controlled, randomized study using four
doses of IV DMT. Subjects were carefully interviewed after resolution of drug
effects, providing thorough and systematic descriptions of DMT's effects. They
also were administered a new instrument, the Hallucinogen Rating Scale (HRS). The
HRS was drafted from interviews obtained from an independent sample of 19
experienced DMT users, and modified during early stages of the study.
RESULTS: Psychological effects of IV DMT began almost immediately after
administration, peaked at 90 to 120 seconds, and were almost completely resolved 
by 30 minutes. This time course paralleled DMT blood levels previously described.
Hallucinogenic effects were seen after 0.2 and 0.4 mg/kg of dimethyltryptamine
fumarate, and included a rapidly moving, brightly colored visual display of
images. Auditory effects were less common. ""Loss of control,"" associated with a
brief, but overwhelming ""rush,"" led to a dissociated state, where euphoria
alternated or coexisted with anxiety. These effects completely replaced subjects'
previously ongoing mental experience and were more vivid and compelling than
dreams or waking awareness. Lower doses, 0.1 and 0.05 mg/kg, were primarily
affective and somaesthetic, while 0.1 mg/kg elicited the least desirable effects.
Clustering of HRS items, using either a clinical, mental status method or
principal components factor analysis provided better resolution of dose effects
than did the biological variables described previously.
CONCLUSIONS: These clinical and preliminary quantitative data provide bases for
further psychopharmacologic characterization of DMT's properties in humans. They 
also may be used to compare the effects of other agents affecting relevant brain 
receptors in volunteer and psychiatric populations.",NULL,0.05,"mg/kg body weight","""The DMT was infused over 30 seconds and the IV tube was flushed with sterile saline for an additional 15 seconds""",DMT,i.v.,0.81,0.43,0.51,0.46,0.98,0.60,0.45,0.33,0.51,0.36,0.74,0.33
4,11,0,30,NULL,healthy,HRS,8297217,10.1001/archpsyc.1994.03950020022002,"Strassman RJ","1994 Feb","Strassman, R.J., Qualls, C.R., Uhlenhuth, E.H. & Kellner, R. (1994) Dose-response study of N,N-dimethyltryptamine in humans. II. Subjective effects and preliminary results of a new rating scale. Archives of general psychiatry, 2, 98-108.","BACKGROUND: Validation of animal models of hallucinogenic drugs' subjective
effects requires human data. Previous human studies used varied groups of
subjects and assessment methods. Rating scales for hallucinogen effects
emphasized psychodynamic principles or the drugs' dysphoric properties. We
describe the subjective effects of graded doses of N,N-dimethyltryptamine (DMT), 
an endogenous hallucinogen and drug of abuse, in a group of experienced
hallucinogen users. We also present preliminary data from a new rating scale for 
these effects.
METHODS: Twelve highly motivated volunteers received two doses (0.04 and 0.4
mg/kg) of intravenous (IV) dimethyltryptamine fumarate ""nonblind,"" before
entering a double-blind, saline placebo-controlled, randomized study using four
doses of IV DMT. Subjects were carefully interviewed after resolution of drug
effects, providing thorough and systematic descriptions of DMT's effects. They
also were administered a new instrument, the Hallucinogen Rating Scale (HRS). The
HRS was drafted from interviews obtained from an independent sample of 19
experienced DMT users, and modified during early stages of the study.
RESULTS: Psychological effects of IV DMT began almost immediately after
administration, peaked at 90 to 120 seconds, and were almost completely resolved 
by 30 minutes. This time course paralleled DMT blood levels previously described.
Hallucinogenic effects were seen after 0.2 and 0.4 mg/kg of dimethyltryptamine
fumarate, and included a rapidly moving, brightly colored visual display of
images. Auditory effects were less common. ""Loss of control,"" associated with a
brief, but overwhelming ""rush,"" led to a dissociated state, where euphoria
alternated or coexisted with anxiety. These effects completely replaced subjects'
previously ongoing mental experience and were more vivid and compelling than
dreams or waking awareness. Lower doses, 0.1 and 0.05 mg/kg, were primarily
affective and somaesthetic, while 0.1 mg/kg elicited the least desirable effects.
Clustering of HRS items, using either a clinical, mental status method or
principal components factor analysis provided better resolution of dose effects
than did the biological variables described previously.
CONCLUSIONS: These clinical and preliminary quantitative data provide bases for
further psychopharmacologic characterization of DMT's properties in humans. They 
also may be used to compare the effects of other agents affecting relevant brain 
receptors in volunteer and psychiatric populations.",NULL,0.1,"mg/kg body weight","""The DMT was infused over 30 seconds and the IV tube was flushed with sterile saline for an additional 15 seconds""",DMT,i.v.,0.92,0.43,0.66,0.50,1.47,0.51,0.88,0.63,0.86,0.33,1.04,0.43
5,11,0,30,NULL,healthy,HRS,8297217,10.1001/archpsyc.1994.03950020022002,"Strassman RJ","1994 Feb","Strassman, R.J., Qualls, C.R., Uhlenhuth, E.H. & Kellner, R. (1994) Dose-response study of N,N-dimethyltryptamine in humans. II. Subjective effects and preliminary results of a new rating scale. Archives of general psychiatry, 2, 98-108.","BACKGROUND: Validation of animal models of hallucinogenic drugs' subjective
effects requires human data. Previous human studies used varied groups of
subjects and assessment methods. Rating scales for hallucinogen effects
emphasized psychodynamic principles or the drugs' dysphoric properties. We
describe the subjective effects of graded doses of N,N-dimethyltryptamine (DMT), 
an endogenous hallucinogen and drug of abuse, in a group of experienced
hallucinogen users. We also present preliminary data from a new rating scale for 
these effects.
METHODS: Twelve highly motivated volunteers received two doses (0.04 and 0.4
mg/kg) of intravenous (IV) dimethyltryptamine fumarate ""nonblind,"" before
entering a double-blind, saline placebo-controlled, randomized study using four
doses of IV DMT. Subjects were carefully interviewed after resolution of drug
effects, providing thorough and systematic descriptions of DMT's effects. They
also were administered a new instrument, the Hallucinogen Rating Scale (HRS). The
HRS was drafted from interviews obtained from an independent sample of 19
experienced DMT users, and modified during early stages of the study.
RESULTS: Psychological effects of IV DMT began almost immediately after
administration, peaked at 90 to 120 seconds, and were almost completely resolved 
by 30 minutes. This time course paralleled DMT blood levels previously described.
Hallucinogenic effects were seen after 0.2 and 0.4 mg/kg of dimethyltryptamine
fumarate, and included a rapidly moving, brightly colored visual display of
images. Auditory effects were less common. ""Loss of control,"" associated with a
brief, but overwhelming ""rush,"" led to a dissociated state, where euphoria
alternated or coexisted with anxiety. These effects completely replaced subjects'
previously ongoing mental experience and were more vivid and compelling than
dreams or waking awareness. Lower doses, 0.1 and 0.05 mg/kg, were primarily
affective and somaesthetic, while 0.1 mg/kg elicited the least desirable effects.
Clustering of HRS items, using either a clinical, mental status method or
principal components factor analysis provided better resolution of dose effects
than did the biological variables described previously.
CONCLUSIONS: These clinical and preliminary quantitative data provide bases for
further psychopharmacologic characterization of DMT's properties in humans. They 
also may be used to compare the effects of other agents affecting relevant brain 
receptors in volunteer and psychiatric populations.",NULL,0.2,"mg/kg body weight","""The DMT was infused over 30 seconds and the IV tube was flushed with sterile saline for an additional 15 seconds""",DMT,i.v.,1.41,0.73,1.29,0.86,2.08,0.71,1.61,0.60,1.19,0.63,1.41,0.46
6,11,0,30,NULL,healthy,HRS,8297217,10.1001/archpsyc.1994.03950020022002,"Strassman RJ","1994 Feb","Strassman, R.J., Qualls, C.R., Uhlenhuth, E.H. & Kellner, R. (1994) Dose-response study of N,N-dimethyltryptamine in humans. II. Subjective effects and preliminary results of a new rating scale. Archives of general psychiatry, 2, 98-108.","BACKGROUND: Validation of animal models of hallucinogenic drugs' subjective
effects requires human data. Previous human studies used varied groups of
subjects and assessment methods. Rating scales for hallucinogen effects
emphasized psychodynamic principles or the drugs' dysphoric properties. We
describe the subjective effects of graded doses of N,N-dimethyltryptamine (DMT), 
an endogenous hallucinogen and drug of abuse, in a group of experienced
hallucinogen users. We also present preliminary data from a new rating scale for 
these effects.
METHODS: Twelve highly motivated volunteers received two doses (0.04 and 0.4
mg/kg) of intravenous (IV) dimethyltryptamine fumarate ""nonblind,"" before
entering a double-blind, saline placebo-controlled, randomized study using four
doses of IV DMT. Subjects were carefully interviewed after resolution of drug
effects, providing thorough and systematic descriptions of DMT's effects. They
also were administered a new instrument, the Hallucinogen Rating Scale (HRS). The
HRS was drafted from interviews obtained from an independent sample of 19
experienced DMT users, and modified during early stages of the study.
RESULTS: Psychological effects of IV DMT began almost immediately after
administration, peaked at 90 to 120 seconds, and were almost completely resolved 
by 30 minutes. This time course paralleled DMT blood levels previously described.
Hallucinogenic effects were seen after 0.2 and 0.4 mg/kg of dimethyltryptamine
fumarate, and included a rapidly moving, brightly colored visual display of
images. Auditory effects were less common. ""Loss of control,"" associated with a
brief, but overwhelming ""rush,"" led to a dissociated state, where euphoria
alternated or coexisted with anxiety. These effects completely replaced subjects'
previously ongoing mental experience and were more vivid and compelling than
dreams or waking awareness. Lower doses, 0.1 and 0.05 mg/kg, were primarily
affective and somaesthetic, while 0.1 mg/kg elicited the least desirable effects.
Clustering of HRS items, using either a clinical, mental status method or
principal components factor analysis provided better resolution of dose effects
than did the biological variables described previously.
CONCLUSIONS: These clinical and preliminary quantitative data provide bases for
further psychopharmacologic characterization of DMT's properties in humans. They 
also may be used to compare the effects of other agents affecting relevant brain 
receptors in volunteer and psychiatric populations.",NULL,0.4,"mg/kg body weight","""The DMT was infused over 30 seconds and the IV tube was flushed with sterile saline for an additional 15 seconds""",DMT,i.v.,1.88,0.56,1.78,0.83,2.94,0.51,2.08,0.40,1.50,0.66,1.89,0.53
7,15,0,0-60,NULL,NULL,HRS,8596116,10.1097/00005053-199602000-00004,"Grob CS","1996 Feb","Grob, C.S., McKenna, D.J., Callaway, J.C., Brito, G.S., Neves, E.S., Oberlaender, G., Saide, O.L., Labigalini, E., Tacla, C., Miranda, C.T., Strassman, R.J. & Boone, K.B. (1996) Human psychopharmacology of hoasca, a plant hallucinogen used in ritual context in Brazil. The Journal of nervous and mental disease, 2, 86-94.","A multinational, collaborative, biomedical investigation of the effects of hoasca
(ayahuasca), a potent concoction of plant hallucinogens, was conducted in the
Brazilian Amazon during the summer of 1993. This report describes the
psychological assessment of 15 long-term members of a syncretic church that
utilizes hoasca as a legal, psychoactive sacrament as well as 15 matched controls
with no prior history of hoasca ingestion. Measures administered to both groups
included structured psychiatric diagnostic interviews, personality testing, and
neuropsychological evaluation. Phenomenological assessment of the altered state
experience as well as semistructured and open-ended life story interviews were
conducted with the long-term use hoasca group, but not the hoasca-naive control
group. Salient findings included the remission of psychopathology following the
initiation of hoasca use along with no evidence of personality or cognitive
deterioration. Overall assessment revealed high functional status. Implications
of this unusual phenomenon and need for further investigation are discussed.",NULL,NULL,NULL,"Doses were not reported","Ayahuasca (DMT)",oral,0.95,0.23,0.91,0.49,2.00,0.53,0.48,0.50,0.37,0.26,1.31,0.43
8,13,0,15,NULL,NULL,HRS,8731519,10.1016/0006-3223(95)00200-6,"Strassman RJ","1996 May 1","Strassman, R.J., Qualls, C.R. & Berg, L.M. (1996) Differential tolerance to biological and subjective effects of four closely spaced doses of N,N-dimethyltryptamine in humans. Biological psychiatry, 9, 784-95.","Tolerance of the behavioral effects of the short-acting, endogenous hallucinogen,
N,N-dimethyltryptamine (DMT) is seen inconsistently in animals, and has not been 
produced in humans. The nature and time course of responses to repetitive,
closely spaced administrations of an hallucinogenic dose of DMT were
characterized. Thirteen experienced hallucinogen users received intravenous 0.3
mg/kg DMT fumarate, or saline placebo, four times, at 30 min intervals, on 2
separate days, in a randomized, double-blind, design. Tolerance to ""psychedelic"" 
subjective effects did not occur according to either clinical interview or
Hallucinogen Rating Scale scores. Adrenocorticotropic hormone (ACTH), prolactin, 
cortisol, and heart rate responses decreased with repeated DMT administration,
although blood pressure did not. These data demonstrate the unique properties of 
DMT relative to other hallucinogens and underscore the differential regulation of
the multiple processes mediating the effects of DMT.",NULL,NULL,"mg/kg body weight","4 dosage with 30 minutes intervals. All subjects wore black eyeshades to reduce ambient
light, and to provide a more introspective experience. We
have found that many subjects will overlook subtle effects
if their eyes are open and they are looking about the room",DMT,i.v.,1.72,0.58,1.90,0.58,2.47,0.61,2.36,0.54,2.42,0.61,1.79,0.54
9,4,0,0,NULL,"schizophrenia patients",HRS,9002391,NULL,NULL,NULL,NULL,NULL,NULL,20,mg,"Values of Somaesthesia and Affect could not be extracted - markers of their graphs look too alike Through further reading you can judge which is which based on the peak relativities reported.  This may still be unreliable but extractable",D-amphetamine,oral,0.41,NULL,0.05,NULL,0.05,NULL,0.00,NULL,0.08,NULL,1.60,NULL
10,4,0,60,NULL,"schizophrenia patients",HRS,9002391,NULL,NULL,NULL,NULL,NULL,NULL,20,mg,"Values of Somaesthesia and Affect could not be extracted - markers of their graphs look too alike Through further reading you can judge which is which based on the peak relativities reported.  This may still be unreliable but extractable",D-amphetamine,oral,0.41,NULL,0.06,NULL,0.06,NULL,0.06,NULL,0.27,NULL,1.65,NULL
11,4,0,90,NULL,"schizophrenia patients",HRS,9002391,NULL,NULL,NULL,NULL,NULL,NULL,20,mg,"Values of Somaesthesia and Affect could not be extracted - markers of their graphs look too alike Through further reading you can judge which is which based on the peak relativities reported.  This may still be unreliable but extractable",D-amphetamine,oral,0.47,NULL,0.15,NULL,0.45,NULL,0.15,NULL,0.34,NULL,1.55,NULL
12,4,0,120,NULL,"schizophrenia patients",HRS,9002391,NULL,NULL,NULL,NULL,NULL,NULL,20,mg,"Values of Somaesthesia and Affect could not be extracted - markers of their graphs look too alike Through further reading you can judge which is which based on the peak relativities reported.  This may still be unreliable but extractable",D-amphetamine,oral,0.64,NULL,0.35,NULL,0.70,NULL,0.20,NULL,0.40,NULL,1.58,NULL
